video_id,effective_score,exciting_score,funny_score,language_score,sentiments,topics,topics_list_index,Topic,Description_x,Abbreviation_x,sentiments_list_index,Sentiment,Description_y,Abbreviation_y
oeYKFRV34kY,5,0.6000000000000001,0.2,1,4,37,37,Political,Political candidates (support or opposition),political,4,Alert,"attentive, curious",alert
Kx48dmDB28U,3,0.2,0.4,1,25,18,18,Healthcare,"Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)",healthcare,25,Persuaded,"impressed, enchanted, immersed",persuaded
JOJ01KXTw-A,3,0.2,0.2,1,21,27,27,Sports,Sports equipment and activities,sports,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
_XOa7zVqxA4,5,0.4,0.2,1,18,17,17,Beauty,"Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)",beauty,18,Fashionable,"trendy, elegant, beautiful, attractive, sexy",fashionable
b2UUhm4edyc,4,0.6000000000000001,0.0,1,5,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
Jg5--STf-iE,3,0.2,0.2,1,21,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
XLpQDBP20X0,3,0.4,0.2,1,1,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
dKj4PDldebc,3,0.4,0.6000000000000001,1,6,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,6,Amused,"humored, laughing",amused
sR7kyIxQ000,3,0.8,0.6000000000000001,1,5,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
5Jfn-U6EGzU,5,0.6000000000000001,0.2,1,18,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,18,Fashionable,"trendy, elegant, beautiful, attractive, sexy",fashionable
mG4Di2nytAk,5,0.4,0.2,1,1,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
TCKVc-y3Uak,4,0.4,0.2,1,14,24,24,Home Appliance,"Home appliances (coffee makers, dishwashers, cookware, vacuum cleaners, heaters, music players, etc.)",home_appliance,14,Eager,"hungry, thirsty, passionate",eager
GXru4Q7Lgxo,3,0.6000000000000001,0.6000000000000001,1,6,7,7,Coffee,"Coffee, tea",coffee,6,Amused,"humored, laughing",amused
aZSzMIFZT7Q,5,0.8,0.8,1,9,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
Bfd4wc4XChQ,3,1.0,0.4,1,1,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
Clu36dt2y88,1,0.6000000000000001,0.8,1,12,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,12,Creative,"inventive, productive",creative
KSRHLwYgLSM,3,0.6000000000000001,0.2,1,5,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
g4Verk1Bgow,3,0.6000000000000001,0.2,1,18,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,18,Fashionable,"trendy, elegant, beautiful, attractive, sexy",fashionable
p0LtpDFxHCQ,3,0.8,0.2,1,1,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
JK_NinOmFWw,3,0.6000000000000001,0.4,1,15,12,12,Financial Services,"Financial services (banks, credit cards, investment firms, etc.)",financial,15,Educated,"informed, enlightened, smart, savvy, intelligent",educated
26bw-hBiAAI,3,0.6000000000000001,0.2,1,4,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,4,Alert,"attentive, curious",alert
ZsFUqPYlYjQ,5,0.6000000000000001,0.2,1,1,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
2S2VUCdbhg0,4,0.4,0.8,1,6,6,6,Alcohol,Alcohol,alcohol,6,Amused,"humored, laughing",amused
7DrFY3H-u8w,5,0.8,0.4,1,4,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,4,Alert,"attentive, curious",alert
8iA2G4xlEpk,2,0.4,0.6000000000000001,1,15,15,15,Software,"Software (internet radio, streaming, job search website, grammar correction, travel planning, etc.)",software,15,Educated,"informed, enlightened, smart, savvy, intelligent",educated
VhK5gJDmSc8,3,0.0,0.0,1,5,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
fyakMTYNtns,3,0.2,0.8,1,25,12,12,Financial Services,"Financial services (banks, credit cards, investment firms, etc.)",financial,25,Persuaded,"impressed, enchanted, immersed",persuaded
-V2r_9Um2Tw,2,0.4,0.2,1,15,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,15,Educated,"informed, enlightened, smart, savvy, intelligent",educated
gJGPsrTaGiw,1,0.6000000000000001,1.0,0,6,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,6,Amused,"humored, laughing",amused
MWWTabHiV2E,5,0.8,0.0,1,1,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
kEhUA5OYm1M,1,0.4,0.8,0,4,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,4,Alert,"attentive, curious",alert
AU1iq9rqYJ0,2,0.4,0.8,1,14,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,14,Eager,"hungry, thirsty, passionate",eager
n4OAtMEXNfc,3,0.8,0.4,1,1,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
ieSzsh4hJWI,5,0.8,0.8,1,1,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
1lMxZNFripE,5,1.0,0.4,1,4,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,4,Alert,"attentive, curious",alert
lN2fuKPDzHA,5,0.4,0.4,1,21,36,36,Self Esteem,"Self esteem, bullying, cyber bullying",self_esteem,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
kQyAJv_Ordg,5,0.4,0.4,1,11,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,11,Conscious,"aware, thoughtful, prepared",conscious
gEpfTicDVUE,5,0.6000000000000001,0.8,1,6,17,17,Beauty,"Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)",beauty,6,Amused,"humored, laughing",amused
eQL3EiJnXFU,3,0.0,0.4,1,15,12,12,Financial Services,"Financial services (banks, credit cards, investment firms, etc.)",financial,15,Educated,"informed, enlightened, smart, savvy, intelligent",educated
ST0cR2-JcZ0,3,0.4,0.8,1,6,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,6,Amused,"humored, laughing",amused
bzoE5dlxH2s,3,0.6000000000000001,0.6000000000000001,1,6,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,6,Amused,"humored, laughing",amused
wKY4Qe1DjI0,5,0.2,0.4,1,3,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,3,Alarmed,"concerned, worried, anxious, overwhelmed",alarmed
nZH6YKmtQV8,3,0.8,0.4,1,4,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,4,Alert,"attentive, curious",alert
YV8zGNe7Ebg,3,0.6000000000000001,0.8,1,6,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,6,Amused,"humored, laughing",amused
CDuxXjaJwbI,1,0.4,0.6000000000000001,1,6,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,6,Amused,"humored, laughing",amused
8qIS3rCrrE4,3,0.4,1.0,1,11,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,11,Conscious,"aware, thoughtful, prepared",conscious
MWDwZWCfp64,3,0.4,0.8,1,14,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,14,Eager,"hungry, thirsty, passionate",eager
tCl_yDquP9o,3,0.8,0.8,1,1,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
s2BwOMBlato,5,0.6000000000000001,0.8,1,6,16,16,Other Services,"Other services (dating, tax, legal, loan, religious, printing, catering, etc.)",other_service,6,Amused,"humored, laughing",amused
W7NgPvQZr7A,3,0.2,0.2,1,4,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,4,Alert,"attentive, curious",alert
ItX7H66gsrQ,5,0.6000000000000001,0.8,1,6,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,6,Amused,"humored, laughing",amused
Pui78pskx24,4,0.4,0.8,1,6,17,17,Beauty,"Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)",beauty,6,Amused,"humored, laughing",amused
PzYKsLch4GM,4,0.8,0.8,1,14,3,3,Chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",chips,14,Eager,"hungry, thirsty, passionate",eager
Fk6hyUyz0Ko,3,0.2,0.8,1,6,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,6,Amused,"humored, laughing",amused
_IYJO-Ik7Pg,5,0.8,1.0,1,6,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,6,Amused,"humored, laughing",amused
K5fn087Jk4I,5,0.4,0.8,1,6,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,6,Amused,"humored, laughing",amused
7-OnEe-dauE,5,0.6000000000000001,1.0,1,6,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,6,Amused,"humored, laughing",amused
LMCGADFNDiQ,3,0.4,0.8,1,6,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,6,Amused,"humored, laughing",amused
sqxPcurgxUA,5,0.4,0.6000000000000001,1,9,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
4Vn3mLIlqp4,3,0.4,1.0,-1,6,34,34,Smoking Alcohol Abuse,"Smoking, alcohol abuse",smoking_alcohol_abuse,6,Amused,"humored, laughing",amused
jdpQir1sqiQ,5,0.4,0.6000000000000001,1,6,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,6,Amused,"humored, laughing",amused
o50_ZlMnjqY,1,0.2,0.4,1,21,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
solPCNc_0Ww,3,0.4,0.0,1,18,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,18,Fashionable,"trendy, elegant, beautiful, attractive, sexy",fashionable
p9Y24MFOfFU,5,0.2,0.4,1,11,37,37,Political,Political candidates (support or opposition),political,11,Conscious,"aware, thoughtful, prepared",conscious
83_ceB0TsiY,5,0.8,0.8,1,6,7,7,Coffee,"Coffee, tea",coffee,6,Amused,"humored, laughing",amused
Rh8GbPnoqCI,5,0.0,0.4,1,3,34,34,Smoking Alcohol Abuse,"Smoking, alcohol abuse",smoking_alcohol_abuse,3,Alarmed,"concerned, worried, anxious, overwhelmed",alarmed
tpeEqt3kpKM,3,1.0,0.4,1,6,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,6,Amused,"humored, laughing",amused
WGQdXUw2uSU,3,0.4,0.0,1,5,15,15,Software,"Software (internet radio, streaming, job search website, grammar correction, travel planning, etc.)",software,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
Z2ZxKWNbncE,4,0.4,0.8,1,9,3,3,Chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",chips,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
g_AtNY0bYAA,3,0.6000000000000001,0.4,1,1,21,21,Games,Games and toys (including video and mobile games),game,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
9cLZQ_2ITLI,5,0.4,0.2,1,14,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,14,Eager,"hungry, thirsty, passionate",eager
QLPyuFVKGak,5,0.4,0.8,1,6,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,6,Amused,"humored, laughing",amused
1SlSxuhLJVE,5,0.6000000000000001,0.8,-1,6,6,6,Alcohol,Alcohol,alcohol,6,Amused,"humored, laughing",amused
5DjgnckVwYE,5,0.8,0.6000000000000001,1,14,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,14,Eager,"hungry, thirsty, passionate",eager
iKdEbzF7xpk,2,0.2,0.0,1,5,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
36PqkY398U8,5,0.8,0.2,1,1,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
lvVOtwezkXU,3,0.4,1.0,1,5,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
KJXzkUH72cY,5,0.4,0.2,1,14,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,14,Eager,"hungry, thirsty, passionate",eager
AQ_XSHpIbZE,5,0.6000000000000001,0.2,1,1,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
OvfU1NpCJQQ,5,0.6000000000000001,0.8,1,6,16,16,Other Services,"Other services (dating, tax, legal, loan, religious, printing, catering, etc.)",other_service,6,Amused,"humored, laughing",amused
ycbHldRpo9k,5,0.4,0.6000000000000001,1,9,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
4F-fzXW1xUM,3,0.6000000000000001,0.6000000000000001,0,9,24,24,Home Appliance,"Home appliances (coffee makers, dishwashers, cookware, vacuum cleaners, heaters, music players, etc.)",home_appliance,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
rt_jK-veOs0,3,0.8,0.6000000000000001,0,5,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
yD94CV7kLHE,3,0.4,0.6000000000000001,1,21,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
qo9lEPZ_0ao,3,1.0,0.0,1,1,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
XdA4OtR88bc,5,0.8,0.6000000000000001,1,1,21,21,Games,Games and toys (including video and mobile games),game,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
yVI7JelAzPc,3,0.6000000000000001,0.8,1,6,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,6,Amused,"humored, laughing",amused
4tA8wtLaui4,3,0.4,0.2,1,21,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
RZNFH-jH-eo,3,0.4,0.2,1,8,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,8,Calm,"soothed, peaceful, comforted, fullfilled, cozy",calm
sfluIhj8Ef4,5,0.4,0.8,1,6,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,6,Amused,"humored, laughing",amused
OX98015fQFI,5,0.4,1.0,0,6,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,6,Amused,"humored, laughing",amused
8uK-mCxVl84,5,0.4,0.2,1,21,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
82kYQ7j7X2s,5,0.6000000000000001,0.4,1,14,34,34,Smoking Alcohol Abuse,"Smoking, alcohol abuse",smoking_alcohol_abuse,14,Eager,"hungry, thirsty, passionate",eager
_SsccRkLLzU,5,0.8,0.2,1,3,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,3,Alarmed,"concerned, worried, anxious, overwhelmed",alarmed
cTfmQht0AdE,3,0.6000000000000001,0.8,1,6,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,6,Amused,"humored, laughing",amused
MXCZVmQ74OA,2,0.8,0.6000000000000001,1,4,37,37,Political,Political candidates (support or opposition),political,4,Alert,"attentive, curious",alert
B4kwU1kjOV0,3,0.4,0.6000000000000001,0,14,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,14,Eager,"hungry, thirsty, passionate",eager
p5n2x0ox47w,5,0.4,0.2,1,6,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,6,Amused,"humored, laughing",amused
MpTe49ha0lU,4,1.0,0.2,1,1,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
1pda__NOfts,4,0.6000000000000001,0.0,1,5,15,15,Software,"Software (internet radio, streaming, job search website, grammar correction, travel planning, etc.)",software,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
4vGcH0Bk3hg,5,0.8,0.0,1,1,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
ftgxuNLVvVw,5,0.4,1.0,1,6,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,6,Amused,"humored, laughing",amused
OowcDddCdwQ,3,0.6000000000000001,0.2,1,4,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,4,Alert,"attentive, curious",alert
lzOe1J8pZB8,3,0.2,0.0,1,5,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
F-z_WSTjr7c,4,0.6000000000000001,0.0,1,30,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,30,Youthful,childlike,youthful
fk3-cuv8q1M,3,0.2,0.2,1,15,12,12,Financial Services,"Financial services (banks, credit cards, investment firms, etc.)",financial,15,Educated,"informed, enlightened, smart, savvy, intelligent",educated
kw03nalTAMQ,4,0.6000000000000001,0.8,1,6,3,3,Chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",chips,6,Amused,"humored, laughing",amused
mqtY88BUi0M,2,0.4,0.6000000000000001,1,30,34,34,Smoking Alcohol Abuse,"Smoking, alcohol abuse",smoking_alcohol_abuse,30,Youthful,childlike,youthful
z0nrVYvE0b8,5,0.6000000000000001,0.8,1,15,33,33,Safety,"Safety, safe driving, fire safety",safety,15,Educated,"informed, enlightened, smart, savvy, intelligent",educated
n6sAGZ5F7Cc,3,0.8,0.0,1,9,21,21,Games,Games and toys (including video and mobile games),game,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
fXT3Sma4-rg,5,0.4,1.0,1,6,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,6,Amused,"humored, laughing",amused
pk2hJRVijm0,3,0.6000000000000001,0.0,1,9,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
P0N5JcFqx4M,5,0.4,0.4,1,25,33,33,Safety,"Safety, safe driving, fire safety",safety,25,Persuaded,"impressed, enchanted, immersed",persuaded
q8MLuni8rzc,5,0.8,1.0,1,6,3,3,Chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",chips,6,Amused,"humored, laughing",amused
KZMYWAW-5Js,3,0.4,0.6000000000000001,1,5,21,21,Games,Games and toys (including video and mobile games),game,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
dDTBnsqxZ3k,5,0.4,0.2,1,3,37,37,Political,Political candidates (support or opposition),political,3,Alarmed,"concerned, worried, anxious, overwhelmed",alarmed
u-K6ymOtnzE,4,0.4,0.8,1,5,12,12,Financial Services,"Financial services (banks, credit cards, investment firms, etc.)",financial,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
HIuSiteKQXA,4,0.0,0.0,1,8,18,18,Healthcare,"Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)",healthcare,8,Calm,"soothed, peaceful, comforted, fullfilled, cozy",calm
BSaBDtpts4c,5,0.8,1.0,1,6,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,6,Amused,"humored, laughing",amused
zcdDg30VBgo,2,0.8,0.2,1,1,6,6,Alcohol,Alcohol,alcohol,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
cLqnbOhRovY,3,0.6000000000000001,0.2,1,9,3,3,Chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",chips,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
v8DZc2PUUq0,5,0.4,0.6000000000000001,1,14,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,14,Eager,"hungry, thirsty, passionate",eager
wICpMU9nvRo,3,0.8,1.0,1,6,18,18,Healthcare,"Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)",healthcare,6,Amused,"humored, laughing",amused
syPqNTmupvY,4,0.6000000000000001,0.0,1,5,21,21,Games,Games and toys (including video and mobile games),game,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
o3MbbQhZfq4,5,0.8,0.2,1,1,21,21,Games,Games and toys (including video and mobile games),game,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
W5N5Hlt7B2M,3,1.0,0.0,1,5,21,21,Games,Games and toys (including video and mobile games),game,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
qnCnAwws_AQ,3,0.2,0.2,1,21,12,12,Financial Services,"Financial services (banks, credit cards, investment firms, etc.)",financial,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
xE7m2FRVmrM,3,0.8,1.0,1,6,27,27,Sports,Sports equipment and activities,sports,6,Amused,"humored, laughing",amused
_6n2tvHQHag,3,0.6000000000000001,1.0,1,15,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,15,Educated,"informed, enlightened, smart, savvy, intelligent",educated
ew9cEATPzDE,2,0.2,0.6000000000000001,1,6,6,6,Alcohol,Alcohol,alcohol,6,Amused,"humored, laughing",amused
A-taWymx1WI,1,0.8,0.2,1,4,21,21,Games,Games and toys (including video and mobile games),game,4,Alert,"attentive, curious",alert
dSEI_Iny_zc,2,0.4,0.2,1,18,6,6,Alcohol,Alcohol,alcohol,18,Fashionable,"trendy, elegant, beautiful, attractive, sexy",fashionable
wurSu_bJ97U,3,0.8,0.2,1,1,27,27,Sports,Sports equipment and activities,sports,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
_3tlUqHla3Y,2,0.4,0.0,1,5,17,17,Beauty,"Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)",beauty,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
4b9Ji7DvsjU,5,0.8,0.2,1,21,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
BrI7VRfqgo4,5,0.8,0.8,-1,1,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
ipdtwLlWNZQ,3,0.2,0.0,1,21,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
tKXxJ29HEiQ,5,0.8,0.4,-1,5,3,3,Chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",chips,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
plnNTqye4Qs,3,0.2,0.6000000000000001,1,9,22,22,Cleaning,"Cleaning products (detergents, fabric softeners, soap, tissues, paper towels, etc.)",cleaning,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
q5Mjz1RTfkU,3,1.0,0.4,1,12,21,21,Games,Games and toys (including video and mobile games),game,12,Creative,"inventive, productive",creative
S_JjGZYpy7I,3,0.6000000000000001,0.6000000000000001,1,1,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
BlfinjxFEYI,3,0.4,1.0,1,6,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,6,Amused,"humored, laughing",amused
qpurHfNLY24,3,1.0,1.0,1,1,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
-B7oSp8hfF0,4,0.8,0.2,1,9,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
Rdz3fUiK4XY,3,1.0,0.2,1,1,27,27,Sports,Sports equipment and activities,sports,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
xs9Qu7uiokw,5,0.4,1.0,1,6,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,6,Amused,"humored, laughing",amused
AK88MQWsYj8,1,0.8,0.8,1,1,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
0AHGLGQgAn8,5,0.4,0.2,1,3,33,33,Safety,"Safety, safe driving, fire safety",safety,3,Alarmed,"concerned, worried, anxious, overwhelmed",alarmed
WlUvQkW4B1k,5,0.6000000000000001,0.8,1,6,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,6,Amused,"humored, laughing",amused
